,teams
0,San Jose
1,Colorado
2,D.C. United
3,New England
6,Columbus
7,Dallas
9,KC Wiz
10,Tampa Bay
11,MetroStars
14,LA Galaxy
186,KC Wizards
351,Miami
387,Chicago
973,New England Revolution
974,Chicago Fire FC
975,Sporting Kansas City
976,Colorado Rapids
977,FC Dallas
982,DC United
983,New York Red Bulls
984,San Jose Earthquakes
990,Columbus Crew SC
1559,West All-Stars
1626,Real Salt Lake
1631,Chivas USA
1843,Houston Dynamo
2034,Toronto FC
2473,Seattle Sounders FC
2694,Philadelphia Union
2951,Portland Timbers
2959,Vancouver Whitecaps
3265,Montreal Impact
4285,New York City FC
4288,Orlando City SC
4992,Minnesota United FC
5011,Atlanta United FC
5389,LAFC
5800,FC Cincinnati
6223,Inter Miami CF
6232,Houston Dynamo FC
6236,Nashville SC
6540,Austin FC
1559,East All-Stars
6538,CF Montréal
